File	Velocity(km/s)	Velocity_error(km/s)	Sigma(km/s)	Sigma_error(km/s)	h3	h3_error	h4	h4_error
spectrum_xpos_03_ypos_16_fiber_number_0146_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_03_ypos_17_fiber_number_0147_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_03_ypos_18_fiber_number_0148_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_03_ypos_19_fiber_number_0149_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_03_ypos_20_fiber_number_0150_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_03_ypos_21_fiber_number_0151_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_03_ypos_22_fiber_number_0152_NGC7025_LR-V.txt	4843.31	5.06	192.62	6.06	0.0053	0.0232	0.0151	0.0239
spectrum_xpos_03_ypos_23_fiber_number_0153_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_03_ypos_24_fiber_number_0154_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_03_ypos_25_fiber_number_0155_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_03_ypos_26_fiber_number_0156_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_03_ypos_27_fiber_number_0157_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_03_ypos_28_fiber_number_0158_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_03_ypos_29_fiber_number_0159_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_03_ypos_30_fiber_number_0160_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_03_ypos_31_fiber_number_0161_NGC7025_LR-V.txt	4809.64	6.12	213.06	7.65	-0.0114	0.0246	0.0452	0.0253
spectrum_xpos_03_ypos_32_fiber_number_0162_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_03_ypos_33_fiber_number_0163_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_03_ypos_34_fiber_number_0164_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_03_ypos_35_fiber_number_0165_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_03_ypos_36_fiber_number_0166_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_03_ypos_37_fiber_number_0167_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_03_ypos_38_fiber_number_0168_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_03_ypos_39_fiber_number_0169_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_03_ypos_40_fiber_number_0170_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_03_ypos_41_fiber_number_0171_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_03_ypos_42_fiber_number_0172_NGC7025_LR-V.txt	4781.33	5.87	191.50	7.71	0.0369	0.0263	0.0568	0.0289
spectrum_xpos_04_ypos_00_fiber_number_0173_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_04_ypos_01_fiber_number_0174_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_04_ypos_02_fiber_number_0175_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
spectrum_xpos_04_ypos_03_fiber_number_0176_NGC7025_LR-V.txt	4922.06	6.19	169.20	7.65	-0.0201	0.0317	0.0268	0.0342
